Post-ID;Text;Likes;Reposts;Antworten;Zitate;Datum;Medium;Gesamt
1;The White House just called out British Legacy Fake News Media The BBC to the entire World !!;14676;3717;489;334;03.06.2025;Text/Video;19216
2;Fake news. More BS. I’m all-in trying to help President @realDonaldTrump end this war — and making sure Putin doesn’t win. This isn’t a travel expense report. It’s a monthly contract between the State Department for U.S. diplomats in a war zone — nothing to do with my trip.;964;165;791;165;03.06.2025;Text ;2085
3;Iran’s truck drivers are on strike over low wages, high fuel prices, and poor living conditions. The regime has responded by threatening, arresting, and beating protesters. Spread their truth. #IranTruckersStrike #IranProtests;648;114;26;1;29.05.2025;Text/Bild;789
4;Breaking: @bbcnews have become the gold standard for fake news in support of Hamas. Watch the White House @PressSec, Karoline Leavitt single out the BBC for ridicule because of its fake news (Hamas propaganda) reporting. Oh dear me. BBC are Hamas shills.;6873;1623;242;174;03.06.2025;Text/Video;8912
5;Hindi Newspapers @JagranNews runs a fake News claiming that the headmaster of the school in Bijnor got the name of the school written in Urdu on the building instead of Hindi. The Newspaper deliberately shared the misleading photo from an angle which shows only the name written in Urdu is visible. This isn't the first time that @JagranNews has shared a misleading News to spoil the atmosphere;763;406;54;14;03.06.2025;Text/Bild;1237
6;Correction: We’ve deleted the post below because it and early versions of the article didn’t meet Post fairness standards. The background: Early versions of the article on Sunday stated that Israeli troops had killed more than 30 people near a U.S. aid site in Gaza, with the headline attributing the action to “health officials.” The article failed to make clear if attributing the deaths to Israel was the position of the Gaza health ministry or a fact verified by The Post. The article and headline were updated on Sunday evening making it clear that there was no consensus about who was responsible for the shootings and that there was a dispute over that question. While statements from Israel that it was unaware of injuries and that an initial inquiry indicated its soldiers didn’t fire at civilians near the site were included in all versions, The Post didn’t give proper weight to Israel’s denial and gave improper certitude about what was known about any Israeli role in the shootings. The early versions fell short of Post standards of fairness and should not have been published in that form.;1711;491;1752;687;03.06.2025;Text/Bild;4641
7;"That's a 614 word non-retraction. Here's what you should have written: ""Hamas made up a story for propaganda purposes. We printed it without verifying it because it fit our preferred narrative."" Fewer words, more truth. @washingtonpost";1069;125;26;3;03.06.2025;Text;1223
8;"The more important question: will this incident, a trend that started on 10/17/23 with the fake Al-Ahli Hospital massacre, result in a change in how reports from Gaza are treated? That all ""authorities"" in Gaza are HAMAS, a US designated terrorist org that should not be trusted?";797;49;9;1;03.06.2025;Text;856
9;My honest Question is... How could Joe have signed a thing, if it was never him? You were told the battles we face. Scripted Pre_planned Patriots in full control. The war is real The news is fake.;205;56;11;1;03.06.2025;Text/Video;273
10;Made $10.9K in 5 days with Julius Caesar deepfake Don’t worry it’s legal, and you can do it too I’ve made a complete step by step guide to help you out RT + Comment “AI” and I’ll send it over (must be following);101;57;92;0;02.06.2025;Text/Bild;250
11;New Zealand MP Laura McClure showed an AI-generated nude image of herself in Parliament to highlight the dangers of artificial intelligence.;16392;1333;1316;1011;01.06.2025;Text/Bild;20052
12;"The ""Take It Down Act"" makes the sharing of non-consensual deepfake images a crime. Experts hope the law, recently signed by President Trump, will help fight against sextortion schemes targeting thousands of American children each year. @NicoleValdesTV met a family hoping to prevent others from enduring the same tragic loss they faced when their son took his own life.";25;12;4;2;31.05.2025;Text/Video;43
13;The hacker scammer group also has access to deepfakes of loved ones voices. I have been hacked for 7+ years, the deepfake they have of my voice must be near perfect @POTUS @elonmusk @realDonaldTrump this is not a right or left wing issue this is a bipartisan issue;0;1;0;0;16.01.2025;Text/Bild;1
14;This is REALITY. They know who the real cops are, where they live, their badge numbers etc. They have deepfake tech;1;1;0;0;16.02.2025;Text/Bild;2
15;FABRICATED ARTIFICIAL INTELLIGENCE VIDEO OF PRESIDENT DONALD TRUMP RAPING AND MURDERING CHILD IN SATANIC RITUAL ON JEFFREY EPSTEIN’S ISLAND #LetJessieSpeak #DarkMaga #JessieMarieCzebotar #TimothyCharlesHolmseth #Epstein #FalseNarratives timothycharlesholmseth.com/f…;15;8;3;0;03.06.2025;Text/Bild;26
16;The real danger of AI in Nigeria no be say e dey make funny skits or remix Davido voice. The danger is the day you no go fit sabi which video be real and which one na deepfake. Imagine A fake confession from a politician A fake protest causing wahala A fake president declaring war A fake pastor crying on livestream And Nigerians go believe cus e go look real pass reality. When lies begin wear agbada of truth, wickedness go trend like giveaway. By the time we open eye, reputation don spoil, lives don scatter, and justice go dey beg for data. Deepfake no go knock, e go stream live.;24;15;2;0;03.06.2025;Text;41
17;People are now using AI to depict Biblical stories. Satan didn't have this on his bingo cards.;48556;6158;1150;1195;03.06.2025;Text/Video;57059
18;i think deep fakes should be illegal. i don't see why not. can someone tell me why it shouldn't be illegal?;285024;20525;1591;218;02.06.2025;Text;307358
19;I don’t think we’re prepared for the societal consequences of AI-generated rage bait. Everyone can quite literally invent “a person to get mad at,” optimized and personalized for tormenting their subconscious. Schizo-tech;25345;2102;138;109;22.05.2025;Text;27694
